Created Date,Id,Accept Time,Agent Type,Agent Message Count,Case Id,Channel Name,Status
2024-11-04T09:46:02.000+0000,0MwJ7000000x0h0KAA,2024-11-04T11:52:14.000+0000,Agent,2,500J7000005fnKuIAI,Inbound Messaging,Ended
2024-11-04T09:49:35.000+0000,0MwJ7000000x0h5KAA,2024-11-06T14:00:39.000+0000,Agent,8,500J7000005fnMRIAY,Inbound Messaging,Ended
2024-11-04T09:51:57.000+0000,0MwJ7000000x0hAKAQ,2024-11-04T12:00:38.000+0000,Agent,4,500J7000005fnNFIAY,Inbound Messaging,Ended
2024-11-04T09:52:29.000+0000,0MwJ7000000x0hFKAQ,2024-11-04T09:52:30.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T09:53:45.000+0000,0MwJ7000000x0hKKAQ,2024-11-05T07:54:17.000+0000,Agent,2,500J7000005fnNjIAI,Inbound Messaging,Ended
2024-11-04T09:57:40.000+0000,0MwJ7000000x0hPKAQ,2024-11-06T09:56:00.000+0000,Agent,8,500J7000005fnP6IAI,Inbound Messaging,Ended
2024-11-04T10:00:01.000+0000,0MwJ7000000x0hUKAQ,2024-11-04T10:00:03.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T10:01:20.000+0000,0MwJ7000000x0hZKAQ,2024-11-07T10:06:55.000+0000,Agent,6,500J7000005fnQEIAY,Inbound Messaging,Ended
2024-11-04T10:01:38.000+0000,0MwJ7000000x0heKAA,2024-11-04T12:41:00.000+0000,Agent,4,500J7000005fnQiIAI,Inbound Messaging,Ended
2024-11-04T10:02:24.000+0000,0MwJ7000000x0hjKAA,2024-11-04T12:37:40.000+0000,Agent,6,500J7000005fnQdIAI,Inbound Messaging,Ended
2024-11-04T10:02:47.000+0000,0MwJ7000000x0hoKAA,2024-11-04T10:02:47.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T10:04:28.000+0000,0MwJ7000000x0htKAA,2024-11-04T10:04:29.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T10:04:51.000+0000,0MwJ7000000x0hyKAA,2024-11-04T10:04:52.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T10:04:58.000+0000,0MwJ7000000x0i3KAA,2024-11-04T10:04:59.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T10:06:41.000+0000,0MwJ7000000x0i8KAA,2024-11-04T12:41:05.000+0000,Agent,6,500J7000005foNkIAI,Inbound Messaging,Ended
2024-11-04T10:09:40.000+0000,0MwJ7000000x0iDKAQ,2024-11-07T09:14:48.000+0000,Agent,13,500J7000005fnTSIAY,Inbound Messaging,Ended
2024-11-04T10:12:10.000+0000,0MwJ7000000x0iIKAQ,2024-11-05T14:49:23.000+0000,Agent,3,500J7000005fnV4IAI,Inbound Messaging,Ended
2024-11-04T10:13:16.000+0000,0MwJ7000000x0iNKAQ,2024-11-05T13:22:31.000+0000,Agent,3,500J7000005fnULIAY,Inbound Messaging,Ended
2024-11-04T10:13:53.000+0000,0MwJ7000000x0iSKAQ,2024-11-06T08:42:43.000+0000,Agent,8,500J7000005fnVJIAY,Inbound Messaging,Ended
2024-11-04T10:14:35.000+0000,0MwJ7000000x0iXKAQ,2024-11-05T08:58:05.000+0000,Agent,3,500J7000005fnUpIAI,Inbound Messaging,Ended
2024-11-04T10:18:58.000+0000,0MwJ7000000x0icKAA,2024-11-05T10:24:08.000+0000,Agent,2,500J7000005fnWHIAY,Inbound Messaging,Ended
2024-11-04T10:19:20.000+0000,0MwJ7000000x0ihKAA,2024-11-05T12:58:52.000+0000,Agent,5,500J7000005fnWRIAY,Inbound Messaging,Ended
2024-11-04T10:23:08.000+0000,0MwJ7000000x0imKAA,2024-11-04T13:17:47.000+0000,Agent,1,500J7000005fnXPIAY,Inbound Messaging,Ended
2024-11-04T10:25:37.000+0000,0MwJ7000000x0irKAA,2024-11-05T13:00:24.000+0000,Agent,4,500J7000005fnYSIAY,Inbound Messaging,Ended
2024-11-04T10:26:24.000+0000,0MwJ7000000x0iwKAA,2024-11-05T16:21:31.000+0000,Agent,9,500J7000005fnYcIAI,Inbound Messaging,Ended
2024-11-04T10:27:11.000+0000,0MwJ7000000x0j1KAA,2024-11-07T13:01:20.000+0000,Agent,6,500J7000005fnYXIAY,Inbound Messaging,Ended
2024-11-04T10:28:26.000+0000,0MwJ7000000x0j6KAA,2024-11-04T10:28:27.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T10:28:52.000+0000,0MwJ7000000x0jBKAQ,2024-11-04T10:28:53.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T10:33:24.000+0000,0MwJ7000000x0jGKAQ,2024-11-04T10:33:25.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T10:33:28.000+0000,0MwJ7000000x0jLKAQ,2024-11-05T09:12:18.000+0000,Agent,3,500J7000005frW1IAI,Inbound Messaging,Ended
2024-11-04T10:34:32.000+0000,0MwJ7000000x0jQKAQ,2024-11-05T09:31:18.000+0000,Agent,9,500J7000005fnbHIAQ,Inbound Messaging,Ended
2024-11-04T10:34:43.000+0000,0MwJ7000000x0jVKAQ,2024-11-04T10:34:44.000+0000,Bot,0,,Inbound Messaging,Ended
2024-11-04T10:35:31.000+0000,0MwJ7000000x0jaKAA,2024-11-05T16:27:22.000+0000,Agent,4,500J7000005fnbbIAA,Inbound Messaging,Ended
2024-11-04T10:36:06.000+0000,0MwJ7000000x0jfKAA,2024-11-05T17:32:00.000+0000,Agent,6,500J7000005fnblIAA,Inbound Messaging,Ended
2024-11-04T10:39:28.000+0000,0MwJ7000000x0jkKAA,2024-11-05T10:11:10.000+0000,Agent,16,500J7000005fndXIAQ,Inbound Messaging,Ended
2024-11-04T10:40:31.000+0000,0MwJ7000000x0jpKAA,2024-11-06T10:02:19.000+0000,Agent,4,500J7000005fokyIAA,Inbound Messaging,Ended
2024-11-04T10:41:10.000+0000,0MwJ7000000x0juKAA,2024-11-07T17:59:21.000+0000,Agent,5,500J7000005fnl7IAA,Inbound Messaging,Ended
2024-11-04T11:01:58.000+0000,0MwJ7000000x0jvKAA,2024-11-05T10:24:57.000+0000,Agent,3,500J7000005fnlWIAQ,Inbound Messaging,Ended
2024-11-04T10:41:26.000+0000,0MwJ7000000x0jzKAA,2024-11-05T09:38:47.000+0000,Agent,2,500J7000005fnX6IAI,Inbound Messaging,Ended
2024-11-04T10:42:57.000+0000,0MwJ7000000x0k4KAA,2024-11-04T14:17:25.000+0000,Agent,1,500J7000005fneGIAQ,Inbound Messaging,Ended
2024-11-04T10:43:15.000+0000,0MwJ7000000x0k9KAA,2024-11-07T10:31:34.000+0000,Agent,3,500J7000005fneaIAA,Inbound Messaging,Ended
2024-11-04T10:44:36.000+0000,0MwJ7000000x0kEKAQ,2024-11-04T14:17:29.000+0000,Agent,1,500J7000005fnfJIAQ,Inbound Messaging,Ended
2024-11-04T10:46:08.000+0000,0MwJ7000000x0kJKAQ,2024-11-04T14:19:31.000+0000,Agent,1,500J7000005fnfdIAA,Inbound Messaging,Ended
2024-11-04T10:47:43.000+0000,0MwJ7000000x0kOKAQ,2024-11-05T09:38:22.000+0000,Agent,9,500J7000005fng7IAA,Inbound Messaging,Ended
2024-11-04T10:48:10.000+0000,0MwJ7000000x0kTKAQ,2024-11-07T07:59:35.000+0000,Agent,3,500J7000005fngRIAQ,Inbound Messaging,Ended
2024-11-04T10:49:04.000+0000,0MwJ7000000x0kYKAQ,2024-11-04T14:35:25.000+0000,Agent,1,500J7000005fngWIAQ,Inbound Messaging,Ended
